gyset	gylfi
i	borgerrettighed
borgerrettighede	borgerrettigheden

for	fra
at	livet
livet	
kan	ka
fortsætte	forsættes
må	måtte
man	han
give	gi
blod	blodet
til	
solen	solen
ellers	eller
udtages	udtage
den	dem
på	paa
sin	sine
vandring	vandringen
under	underhorisonten
horisonten	horisonten
til	thi
et	ét
skelet	

men	man
i	itakt
takt	takten
med	
at	sporene
sporene	sporerne
efter	efterdenmark
denmark	denmark
vises	veseys
fysiske	
eksistens	eksistence
gik	
i	graven
graven	gravene
fødtes	fødtes
hans	han
eftermæle	eftermæler
som	så
en	mytisk
mytisk	mytiskfigur
figur	figure
der	dér
gennem	gennem
alle	
følgende	følgendes
generationer	generationers
er	blevet
blevet	bleven
tydet	tydede
og	at
tolket	tolkede
og	dermed
dermed	derved
har	havde
lagt	lagte
liv	liver
og	af
død	døde
til	tillegenden
legenden	legende
om	og
denmark	denmark

barack	baracks
obama	obama
får	for
sin	sine
egen	egentlige
youtube	youtubekanal
kanal	
der	
bugner	bugner
med	videoer
videoer	videoet
om	og
ham	hans
næsten	
gratis	gratist
reklame	reklamen
som	så
i	løbet
løbet	
af	at
valgkampen	valgkampen
bliver	blir
set	sets
sammenlagt	sammenlagt
fjorten	fjortenkomma
kom	komma
med	
fem	femmillioner
millioner	mio
timer	time

find	find
word	wordfiler
filer	

jeg	de
kan	ka
huske	husket
at	se
se	
ham	hr
for	fra
mig	
i	en
en	
form	formen
for	får
tåge	tågelamslået
lamslået	
over	overafstanden
afstanden	afstandene
mellem	imellem
forseelsen	forseelsens
omfang	omfangen
og	om
straffen	straffen

konkret	konkret
betyder	betyder
det	der
at	kurven
kurven	kurvene
for	fra
funktionen	funktionen
kan	kantaler
taler	talerudvikles
udvikles	udvikle
en	end
matematisk	matematiske
metode	metoder
til	at
at	
repræsentere	repræsenterer
en	én
hvilken	hvilkensom
som	
helst	helt
pæn	pænt
og	
jævn	jævnfunktion
funktion	
som	så
en	såkaldt
såkaldt	såkald
taler	talerrække
række	
som	
er	af
en	
serie	
er	af
uendelig	uendeligt
mange	mangehøjere
højere	høje
og	højere
højere	
potenser	potentier
af	er
den	dens
variable	variables
afvigelse	afviselse
fra	for
et	ét
startpunkt	

en	én
anden	andet
person	personen
fandt	fandte
jeg	jer
det	der
mere	
relevant	relevante
at	og
tale	talemed
med	
i	arkiverne
arkiverne	arkiverne
havde	har
jeg	jer
også	osse
fundet	fundet
afhøringer	afhøringerne
af	at
i	
birkedal	birkedals
daværende	daværendes
hustru	hustrup

de	det
legede	lejede
en	én
af	ad
hotel	hotellejlighederne
lejlighederne	
ved	vedsiden
siden	sident
af	ad
hans	han

og	om
nu	nul
tror	tro
de	det
måske	
at	det
det	
er	et
et	
fint	fintbevis
bevis	
på	at
at	den
den	dens
gode	gamle
gamle	gamles
disciplinære	disciplinærer
opdragelse	opdragelser
er	alligevel
alligevel	
er	af
den	dens
bedste	bedstefordi
fordi	får
jeg	i
i	det
det	
øjeblik	øjeblikke
indså	indsåede
at	jeg
jeg	
havde	har
fortjent	fortjente
at	og
få	forende
en	én
på	påkokken
kokken	kokken

jakob	jakob
andersen	andersen
og	om
de	det
andre	andres
udlands	udlandsreportere
reportere	
lærer	lære
mig	marie
alle	
trikine	trikingen

hun	hunt
savnede	sagnede
ham	han
pludselig	pludseligt
så	som
der	det
rev	revet

nej	ej
jeg	jer
blev	bare
bare	bar
forskrækket	forskrækkede
svarede	svarede
hun	hund
fra	for
køkken	køkkenstolen
stolen	

især	så
reagerer	reagerede
han	hans
på	at
at	hele
hele	heath
frist	fristgruppen
gruppen	
er	
som	som
én	en
stor	storfamilie
familie	

en	én
praksis	praksist
der	da
var	er
virkelighed	virkeligheder
for	fra
millioner	million
af	mennesker
mennesker	
helt	hel
frem	fremtil
til	
borgerrettigheder	borgerrettighedssværdslag
sværdslag	
omtrent	omtrent
hundrede	hundredeår
år	
senere	senere

irak	erak
udstødte	udstødtes
en	end
kort	kortbrusende
brusende	
latter	latterbrusende

julia	julia
holdt	holdte
øjnene	øjne
på	clay
klage	clay
og	
elskede	elskedes
intensiteten	intensiteten
i	hans
hans	
øjne	øjner

det	de
er	rigtigt
rigtigt	rigtig
nok	

vreden	vrægen
gav	gave
min	mine
stemme	stemmekræften
kræften	
tilbage	tilbagen
og	jeg
jeg	slyngede
slyngede	slyngedes
ordene	ordner
mod	imod
ham	
før	for
han	hans
kunne	ku
nå	når
at	trylle
trylle	
mig	med
endnu	nu
sværere	svære

så	som
man	men
op	
kunne	ku
man	men
se	
sejlende	sejlene
så	som
mørke	mørkevinger
vinger	vingere
drejende	drejende
og	slingrende
slingrende	slingrende
mod	modtusinde
tusinde	tusind
stjerner	stjerner

dette	den
finansverdenens	finansverdenskasinospil
kasinospil	kasinospil
er	har
slet	slette
ikke	så
så	såindviklet
indviklet	indviklede
komma	kommat
som	så
det	de
i	første
første	
omgang	omgang
kan	ka
lyde	lydes
til	tætte
punktum	

på	for
mange	mangen
måder	måde
lå	lo
det	de
lige	ligefor
for	
at	jeg
jeg	
kunne	ku
udnytte	udnyttes
medvinden	medvindene
til	også
også	os
at	lave
lave	
noget	nogen
reklame	reklamefotografi
fotografi	
og	at
tjene	tjener
godt	
på	det
det	dét

jeg	det
bryder	bryder
mig	meget
ikke	om
om	og
hvor	hvorhans
hans	han
hånd	hånder
er	af
placeret	placerede
siger	sir
john	john
igen	
taler	tale
med	men
henvisning	henvisningen
til	at
at	vinklen
vinklen	vinklene
på	fra
fotografiet	fotografien
snyder	snyder
beskueren	beskueren
til	tilvød
ved	vedførste
første	førsteøjekast
øjekast	øjekaster
at	og
tro	true
at	præsidentens
præsidentens	præsidentens
spredte	spredtefingre
fingre	fingrer
hviler	vile
tungt	tung
på	fru
fru	frusagens
sagen	sagnetales
tales	
højre	højrebryst
bryst	

gennemgår	gennemgå
det	de
i	en
en	
fodnote	fodnote
i	aftalen
aftalen	aftale

det	de
kan	ka
først	førstblive
blive	blivet
synligt	synlig
i	et
et	
helhedsbillede	helhedsbilledet
af	er
et	tidrum
tid	tidsrum
rum	
og	
vil	ville
vi	ved
nogen	nogensinde
sinde	
får	få
det	de
at	og
se	

gia	giard
dalby	dalby

klokken	klukken
må	måtte
have	ha
været	
næsten	næstens
seks	sex
om	
morgenen	morgenen
da	der
vi	i
hørte	hørtes
den	dem
stadigt	stadig
højere	høje
brummen	brumme
af	er
en	én
motor	motor
der	da
nærmede	nærmedes
sig	fra
fra	for
den	denne
anden	andenside
side	siden
af	ad
barken	barken

løgn	lauren
stammede	stammede
jeg	jer
ng	

smukke	smukket
med	mæ
dig	der
og	mig
mig	må
ved	vil
dans	dansvære
være	væreforspil
forspil	forspillet

det	de
var	er
hvidt	vidt
som	
tal	taylor
og	
lå	lo
i	store
store	stores
walker	walkere

derefter	derfor
puster	puster
han	hans
ind	inde
i	
pelsens	pelsens
hårlag	hårlags
sådan	sådanne
en	sådan
sarte	sarteunderuld
underuld	
kommer	komme
til	tilsyne
syne	syneforså
for	får
så	såtil
til	
slut	
at	og
udsige	udsiger
sin	sine
dom	domme

hun	han
er	har
endelig	endeligt
blevet	bleven
esters	esters
barne	barnedrøm
drøm	
af	at
en	én
mor	mordtyk
tyk	tykligt
lidt	
sladrer	sladre
vogn	
som	så
den	det
let	letbliver
bliver	blir
den	dem
der	dér
har	er
god	godt
tid	
og	om
med	
al	alt
sin	
glæde	glæder
og	af
smerte	smerterod
rod	
i	
børnene	børnene

ingen	ingenhandling
handling	handlinger
selv	selve
den	denne
intime	intimete
te	
kan	
foregå	foregåe
upåagtet	upåagtede

kastor	castor
har	er
en	én
ven	
der	da
arbejder	arbejdede
som	så
vagt	vagtig
i	
havnen	haven
i	teaffa
te	teaffa
affa	

ni	nittenhundrede
tre	trefem
fem	
en	tooghalvfems
tog	tooghalvfems
halvfems	
syv	syvhundrede
hundrede	
og	
tretten	tretten

men	man
at	lave
lave	lavet
en	stram
stram	stramversion
version	
komma	komma
som	så
kun	kunne
udvalgte	udvalgt
komma	komma
ufarlige	ufarlig
program	programhuse
huse	
har	
adgang	adgangen
til	
komma	kommaer
er	af
ganske	
simpelt	simpeltmagt
magt	magtmisbrug
misbrug	
punktum	

foran	fra
dommerne	dommere
i	work
work	work
hos	house
var	vargul
gul	gullah
af	
jack	jacks
prisgivet	prisgivet

men	med
den	denne
her	
er	virkelig
virkelig	virkeligt
fl	flyt

dine	din
bedste	bedsteforældre
forældre	
tilbragte	tilbragte
flere	flere
ængstelige	ængsteligt
minutter	minutters
med	at
at	
lede	le
efter	eftermig
mig	

inden	inden
skibet	skibet
havde	havde
vendt	vendt
sig	så
og	for
for	forfuldt
fuld	fuldt
damp	dampstævnet
stævnet	
mod	mod
det	dets
åbne	åbende
hav	have
var	
digtet	digtede
født	fødte

jeg	det
fulgte	fuldt
mændene	mændene
under	underdæk
dæk	dæk
hvor	hvordan
de	det
stuvede	stuvede
forsyningerne	forsyningerne
af	ad
vejen	
og	om
mødte	mødtes
på	påvej
vej	
tilbage	tilbagetil
til	
salonen	salonen
ned	nedland
land	

netop	ned
det	de
er	i
i	
sig	
selv	selvfor
for	formørker
mørk	mørkere
er	
hvad	hva
hun	
umiddelbart	umiddelbar
også	osse
kan	ka
se	see
af	ad
lyst	

og	om
helt	hel
nøjagtigt	nøjagtig
er	af
det	de
juleaftens	juleaftensdag
dag	
det	de
år	årh

palin	palina
slår	slog
opgivende	opgivende
ud	ude
med	af
armen	armene

ja	jeg
jeg	det
var	er
blevet	bleven
fed	fedt
ude	
i	lufthavnen
lufthavnen	lufthavnene
men	med
det	den
er	den
den	
uvished	uvishedsden
den	det
da	der
uafgjort	uafgjorthed
hed	

knep	kneppe
mig	my
plc	plck
sagde	sagte
han	hans
og	hans
hans	
vejrtrækning	vejrtrækninger
kom	komme
i	småstød
små	småstød
stød	
i	idet
det	
begæret	begærede
fyldte	fyldt
hver	være
en	
lille	lilletomme
tomme	tommer
af	ad
hans	
krop	kroppe

få	for
meter	meter
fra	for
ham	
tårnede	tårnede
en	hvid
hvid	hvidhej
hej	hejsig
sig	
op	opankommet
ankommet	ankommen
brat	bratfra
fra	
tyssede	tysset
på	
disse	
dybder	dybdere

centrerer	centrer
ord	ord

hvis	ved
du	de
får	får
styrket	styrken
teknik	teknikuddannelserne
uddannelserne	
betyder	betyder
det	de
at	de
de	
kan	tage
tage	taget
job	jobs
som	så
i	idag
dag	
bliver	blir
udført	udførte
af	er
ingeniører	ingeniøren

men	man
så	såsnart
snart	
jeg	at jeg
skyder	skyder
efter	efterham
ham	
ved	vil
ham	han
der	da
er	tættere
tættere	
på	at
os	at
få	får
sig	
en	én
chance	chancer

en	én
gang	
imellem	
står	står
han	hans
midt	med
i	
klikken	klikken
foran	fra
folkets	folkets
hus	huse
men	mens
han	
er	ligesom
ligesom	lisom
lidt	forgammel
for	forgammel
gammel	
for	forlærer
lære	læredrengene
drengene	
og	gider
gider	gide
heller	hellere
ikke	snakke
snakke	snakkes
om	ompiger
piger	pigerne

ingen	inge
kunne	ku
sige	sir
og	så
så	
var	vare
der	dér
den	dengang
gang	
han	hans
slog	slogen
en	én
mand	
ihjel	ihjel
ved	vi
godt	godtland
land	
for	får
der	da
var	varer
ingen	ingens
kriger	krigerminder
minder	
knyttet	knyttede
til	the
ulver	ulver
og	
i	stedet
stedet	
blev	bliver
der	det
drukket	drukkede
tæt	tætte

alting	altid
hænger	hængede
sammen	samme
sagde	sagte
david	david
som	somom
om	
det	de
var	er
en	én
sandhed	sandhed

har	havde
han	hans
ikke	selv
selv	selvision
i	
sin	
ensomhed	ensomhed
her	heri
i	
disse	
øde	ødemarker
marker	
måtte	må
tysse	tysset
både	bådegud
gud	guder
og	
fantasien	fantasien
når	når
mørket	mørket
har	er
været	været
nær	nærved
ved	
at	overmande
overmande	overmandede
ham	hammars

kog	kogt
ned	nede
er	af
der	det
imidlertid	imidlertid
kun	tre
tre	tres
kandidater	kandidater
der	da
slås	slog
om	om
de	to
to	
pladser	pladser
i	finalen
finalen	finalen

jeg	det
har	havde
besluttet	
mig	for
for	at
at	
skrive	skrivet
denne	den
bog	bog
og	at
vil	ville
forsøge	
at	og
finde	
ud	ude
af	ad
hvad	hva
der	det
er	skete
sket	
med	
jægernes	jægernes
situation	situationssiden
siden	siden
jeg	at jeg
forlod	forloderegionen
regionen	regionens
syv	syvår
år	
tidligere	tidligere

pladsen	pladsen
per	på
slave	

den	dens
knugede	knugende
stemning	stemningslettere
lettere	lettereomgående
omgående	omgående
frygten	frøkenen
har	havde
udviklet	udviklet
sig	til
til	the
en	én
fest	festiva

min	mine
mor	
har	havde
fortalt	fortalte
mig	maa
om	og
de	det
svævebaner	svævebanere
som	så
en	engang
gang	
forbandt	forbandte
bygningerne	bygningerne

det	de
ville	vil
med	meburg
burg	borge
og	
sådan	sådant
blev	blive
det	dét

da	der
han	hans
stod	står
uden	udenfor
for	
døren	
var	hvad
alt	al
hans	han
mod	modborte
borte	
men	mens
han	
var	har
sat	satte
i	
bevægelse	bevægelsen
nu	
og	at
ville	vil
have	ha
en	én
ende	
på	
det	dét

derfor	dér
har	er
vi	i
skrevet	skreven
til	dig
dig	der
i	denne
denne	
uge	ug
og	derfor
derfor	dér for
må	måtte
jeg	at
minde	mindet
dig	derom
om	at
at	deadline
deadline	deadliner
rammer	ramme
os	også
i	løbet
løbet	
af	ad
nogle	nogen
timer	time

jeg	det
har	havde
opholdt	opholdt
mig	med
i	en
en	
tom	tomhospitalsstue
hospitalsstue	hospitalsstue
på	for
fødegangen	fødegangene
fordi	for
jeg	helst
helst	ville
ville	vil
være	været
så	langt
langt	langtvæk
væk	
fra	
min	mine
familie	familie
som	så
muligt	mulig
og	
ikke	
mindst	
fra	for
intensivafdelingen	intensivafdelingen
og	af
den	denne
der	da
sygeplejerske	sygeplejerskede
eller	er
nærmere	nærme
det	dét
den	dén
sygeplejerske	sygeplejerskesagde
sagde	sagde
og	det
det	dét
som	
jeg	omsider
omsider	omside
har	er
forstået	forstået

man	han
skal	ska
ifølge	ifølgeartiklen
artiklen	artiklerne
være	vær
god	godt
fordi	for
det	de
et	gør
gør	
en	
glad	
at	
give	
to	
man	men
får	for
noget	
igen	når
når	når
man	han
giver	gir
tre	tres
at	og
give	giveren
noget	nogen
udvikler	udvikle
taknemmeligheden	taknemligheden
hos	hos
giveren	giveren
hvilket	hvilke
er	godt
godt	
for	forlykkeniveauet
lykke	lykkeniveauet
niveauet	
fire	fireogfirs
at	
give	giveren
er	af
godt	
for	forgiverens
giverens	giverens
helbred	helbreder
og	
fem	femat
at	og
give	givesmitter
smitter	smither
og	
påvirker	påvirke
altså	altså
andre	andres

kvidrede	kvidrede
conny	connie
letter	lettermanisk
manisk	

åben	åbn
ventes	venligst
min	med
adressebog	adressebog
nu	nr

en	én
dag	
var	varer
det	de
så	såslemt
slemt	slem
at	mine
mine	min
kaniner	kaninere
efter	efterførst
først	
at	have
have	havefaret
faret	faret
forskrækket	forskrækkede
rundt	rundtklumpet
klumpede	klumpet
sig	så
sammen	samme
i	et
et	
hjørne	hjørneagræsningsburet
af	ad
græsning	græsningsburet
buret	
så	
jeg	ikke
ikke	kunne
kunne	kunnet
se	sig
hvor	hvordan
den	det
ene	en
begyndte	begyndt
og	at
den	denne
anden	andenendte
endte	endtes

de	det
to	toreportager
reportager	reportagere
blev	bliver
beviset	bevisede
på	at
at	dobbelte
dobbelte	dobbeltejan
jan	
smith	smiths
inspireret	inspirerede
humanistisk	humanistiske
fotojournalist	fotojournalist
stadig	stadigt
er	relevant
relevant	relevante
og	at
at	den
den	
kompleksitet	kompleksitet
der	da
viser	viser
sig	så
når	og
man	han
går	gå
dybere	dyber
sagtens	sagtnes
kan	ka
rummes	rumme
fotografisk	fotografiske

under	under
morgenmads	morgenmadsbuffeten
buffeten	
på	
hotellet	hotellet
undgik	undgik
han	hans
sine	sin
kolleger	kollegaer
og	at
gemte	gemtede
sig	så
i	en
en	
krog	kro
bag	af
aviserne	aviserne

derfor	dér
skal	ska
denne	den
her	
bog	
hede	hedde
fruen	fruen
kommer	komme
i	idag
dag	
for	forinden
i	
titlen	
på	paa
mit	min
første	førsteerindringsspænd
erindring	erindringsspænd
spænd	
indgik	
ordet	ordets
pige	pigen
i	
det	
næste	
dame	damen
og	nu
nu	numarkerer
markerer	markere
frue	fruen
at	
tiden	tiden
er	af
gået	gåen

ved	ved
væggen	væggene
var	havde
der	det
nu	opstillet
opstillet	opstillede
to	tosenge
senge	senger
bag	baghinanden
hinanden	hinandens
tre	trestole
stole	stoler
i	nærheden
nærheden	
af	at
døren	dørene
var	overdænget
overdænget	overdængede
med	men
tøj	tøjer
og	
linnet	linnettet
et	
skab	
stod	står
åbent	åben

han	hun
havde	har
i	første
første	
omgang	omgang
sørge	sørget
for	fra
at	hente
hente	hænde
heste	hester
og	at
reb	rebbe
og	
var	
nu	nuigang
i	igang
gang	
med	at
at	
råbe	råber
af	ad
folk	
og	at
få	får
dem	den
stillet	stille
op	oppe
i	ihold
hold	holdet

ud	ude
fra	
en	én
solidarisk	solidariskt
politik	politiker
er	af
det	de
ikke	en
en	én
bestemt	bestemtløsning
løsning	
der	dér
er	af
den	denne
rette	rettede

hun	han
beder	ber
fri	frill
og	at
ranja	ranjas
tager	tar
sig	så
af	ad
de	det
små	smås

form	formler
massen	massen
med	ved
en	paletkniv
paletkniv	paletkniv
komma	komma
så	såtoppen
toppen	toppens
spidse	spidser
slet	slette
punktum	

vil	ville
de	det
have	ha
adspredt	adspredte
at	jeg
jeg	
har	havde
overfaldet	overfalden
dem	den
så	som
vil	ville
fru	frugrubach
gru	grubach
bach	
få	får
en	dertil
dertil	dertilsvarende
svarende	
besked	beskeder
og	at
vil	ville
tro	true
det	de
uden	
at	miste
miste	
tilliden	tillident
til	thi
mig	
så	såmægt
meget	
hænger	hænger
hun	hund
ved	ved
mig	man

han	hun
stirrer	stiger
på	paa
billedet	billede
af	ad
sig	
selv	selvet
et	ét
nærbillede	nærbilledet
af	ad
ham	
siddende	siddenden
ved	ved
bordet	bordene
hos	hosnana
nanna	nana
han	
kan	ka
huske	husket
at	hun
hun	
tog	to
billedet	billede
han	hans
har	er
et	drilsk
drilsk	drilskudtryk
udtryk	
i	ansigtet
ansigtet	ansigten
det	dét
blik	bliker
han	hans
sender	sende
fotografen	fotografens
er	af
het	heath

det	de
er	rigtigt
rigtigt	rigtig
at	af
forslag	forslaget
har	havde
været	været
drøftet	drøftede

alle	aller
er	klar
klar	klare
over	overat
at	han
han	
har	har
haft	
en	stor
stor	
betydning	
for	fra
selskabets	selskabets
indtjening	indtjeninger
og	om
hans	han
opsigelse	opsigelser
er	af
ekstremt	ekstrem
dårlig	dårligt
timet	timede

soveværelsets	soveværelsens
lang	langvæg
væg	
er	
proppet	proppet
med	af
bøger	bøgerne

undskyld	undskyldt
siger	sir
hun	hund
jeg	at jeg
er	har
nødt	
til	at
at	og
gå	
op	til
til	
mig	maa
selv	at
at	og
kaste	kastet
op	oppe

i	ih
ævle	ævlet
fandt	fandte
han	hans
netop	ned
den	dens
venlige	venligste
enkle	enkelte
trækirke	trækirkehan
han	hans
i	al
al	alt
hemmelighed	
havde	have
håbet	håbet
på	paa

han	hans
spillede	spildede
fysisk	fysiskmedrivende
medrivende	medrivende
og	helt
helt	nutidig
nutidig	nutidigt
i	det
det	
rytmiske	rytmiske

hvad	hva
med	men
ha	hr
jack	
jeg	jer
kan	ka
også	osse
godt	li
lide	li
dig	der

min	mine
første	førstetanke
tanke	tanker
var	hvor
at	greven
greven	gregorien
var	havde
kommet	kommen
for	at
at	
handle	handlede
i	vores
vores	
butik	butikke
men	med
i	stedet
stedet	
gik	gikke
han	hans
hen	hende
og	at
hilse	hilste
på	paradis
frode	frode
og	om
mig	may

midtpunktet	midtpunkten
i	rummet
rummet	rummen
er	er
den	det
fastspændte	fastspændte
fra	fravår
vb	
som	
sidder	sidder
op	oppe
på	
sit	sit
leje	leje
med	ved
ryggen	ryggene
mod	imod
vinduerne	vinduerne

jeg	det
sidder	sir
stadig	stadigt
med	men
senge	sengestolpen
stolpen	
i	
ryggen	ryggene
og	af
åbne	åbner
øjne	øjnene

skal	ska
man	han
vælge	vælges
mellem	imellem
sandhed	sandheden
og	
savnet	sagnet
så	sådan
er	sagnet
savnet	sagnet
altid	al
sandheden	sandhedens
fastslår	fastslog
de	det
to	
brødre	brødrer

arbejdet	arbejde
er	desuden
desuden	desuden
ekstremt	ekstremt
motiverende	motiverende
for	fra
de	det
fleste	flest
af	tradere
trader	traderne

vi	i
er	på
på	paramamas
hammers	hammars
det	derforår
er	forår
forår	
afgørelsen	
er	af
truffet	truffet
den	det
er	endelig
endelig	endeligt
men	med
foreløbig	foreløbigt
lader	lade
de	det
som	somom
om	
alt	al
er	af
status	statusquo
quo	
at	
forlade	forladet
hinanden	hinanden
er	af
ikke	
det	de
samme	sammen
som	
at	og
blive	
forladt	forladte
at	og
være	været
sammen	sammener
er	af
næsten	
det	de
samme	sammen
som	
ikke	at
at	være
være	
sammen	samme
men	med
så	sålænge
længe	
vi	vil
holder	holder
hinanden	hinanden
i	hånden
hånden	
og	at
ikke	slipper
slipper	slippe
uanset	uansede
om	omhånden
hånden	hånden
af	af
ti	
tusind	
mil	
borte	
eller	
i	
sengen	
ved	
siden	
af	

romanen	roman
er	af
en	én
varm	varmslægt
slægt	slægtsaga
saga	
komma	kommat
fortalt	fortalte
de	det
smukke	smukkes
billeder	billede
og	bogstaveligt
bogstavelig	bogstaveligt
talt	tal
teltet	
i	
lyserød	lyserødt
nostalgi	nostalgie
punktum	punktum

lige	ligesom
som	
intet	intetsagde
sagde	sagte
eller	at
bedyre	bedyrede
deres	dets
uskyld	uskylde
fik	for
de	det
hårdeste	hårde
straffe	straffer

de	det
forvirrede	forvirredes
ordrer	ordre
i	deres
deres	
hjerner	hjerne
gjorde	gjort
dem	den
til	tillette
lette	lettemål
mål	
for	fra
skaderne	skandierne
og	de
de	det
blev	bliver
hurtigt	hugget
hugget	huggede
omkuld	omkuldt

han	hun
kan	ka
ikke	rette
rette	rettes
sin	sine
ben	benud
ud	
og	han
han	
kan	ka
ikke	træde
træde	trædes
op	oppe
på	
en	lav
lav	lavkasse
kasse	
uden	udenhjælp
hjælp	hjælpe

en	én
stenalder	stenalderhjerne
hjerne	
må	selvfølgelig
selvfølgelig	selvfølgeligt
opgraderes	opgradere
så	sådan
den	det
kan	ka
følge	følges
med	men

hun	hun
oplever	oplevede
både	bådet
de	det
klassiske	
gran	granmalanfald
mal	
anfald	
med	
kramper	krampere
og	af
bevidstløshed	bevidstløsheder
og	
psykomotoriske	
episoder	episoder
hvor	hvorhun
hun	huns
skriger	skrigere
og	
råber	råber
dunker	dunkerhovedet
hovedet	
ind	inde
i	den
den	det
nærmeste	nærmest
væg	vægt
og	at
miste	mister
orienteringen	

i	isandet
sandet	sandte
vrimler	vrimler
det	de
med	medie
i	
og	om
mit	mit
krebs	krebsdetegner
de	
tegner	tegner
cirkler	
og	om
mønstre	mønstrer
slæber	slæber
rundt	rundtpå
på	
deres	deres
skaller	skalder
hele	heletiden
tiden	
på	paa
udkik	udkikken
efter	
en	én
der	dér
er	lidt
lidt	
større	størrere
så	som
de	det
kan	ka
opgradere	opgraderes
sig	så
selv	selve

han	hun
vender	vænner
tilbage	tilbagetil
til	til
princippet	princippet
om	at
at	atuordenentropien
uorden	uordenentropien
entropien	
i	universet
universet	university
er	konstant
konstant	konstantvoksende
voksende	voksne

han	hans
lagde	ladede
et	glødende
glødende	glødende
kul	kuld
i	imunden
munden	
som	så
barn	baren
og	
brændte	brændte
tungen	tungene
og	var
var	hvor
derfor	derforude
ude	udeaf
af	ad
stand	
til	at
at	
tale	taler
og	det
det	de
var	varede
dette	det
fravær	fraværet
af	at
tale	taler
som	
skabte	skabtes
mulighed	muligheden
for	fra
at	kunne
kunne	
fyldes	fyldtes
af	ad
guds	gudstale
tale	

der	dér
kan	ka
daisy	daisy
ikke	længere
længere	holde
holde	holdet
ud	at
at	og
skjule	skjuler
sin	sine
identitet	idé

radu	rado
var	er
kontroversiel	kontroversielt
og	om
han	
havde	hadede
mange	mangere
omkring	omkringer
sig	så
der	da
favnede	favnet
de	det
ideer	idéer
han	hans
var	har
kritiseret	kritiserede
for	fra
men	med
da	der
de	det
så	senere
senere	
viste	vistes
sig	så
korrekte	korrekt
begyndte	begyndt
man	men
at	glemme
glemme	glemmet
hvor	hvordan
de	det
kom	komme
fra	frem

markér	marker
filer	filer

når	når
man	han
slår	slog
til	tilden
den	dem
mod	modnoget
noget	nogen
begynder	begynder
den	dem
at	svinge
svinge	svingen
i	tonen
tonen	
af	ad
og	at
svingningerne	svingningernes
stiger	stiger
og	stiger
stiger	stige
indtil	inden
tonen	tonen
fylder	fylder
hele	helerummet
rummet	rummet

lars	larse
von	von
trier	trier
har	havde
altid	været
været	optaget
optaget	optagede
af	at
at	overgå
overgå	overgåe
sine	sin
filmiske	filnes
forgængere	forgængerer
og	at
forbilledet	forbillede
andre	andretakaske
et	takakaske
ta	
karske	
havde	har
engang	engang
ladet	ladet
en	heath
hest	heath
falde	faldes
ned	nedad
af	ad
en	trappe
trape	trappe

det	de
er	metaldetektorer
metaldetektorer	metaldetektorerne
og	private
private	
vagtkorps	vagtkorpser
blandt	
femte	femogtres
klasser	klasser
og	det
det	de
er	hundrede
hundrede	
tusinder	
af	er
unge	unger
i	smadrede
smadrede	
bydele	bydeler
og	
familier	

til	thi
gengæld	gengældet
står	stod
man	han
så	såmænd
med	
et	rigtig
rigtig	rigtigt
flot	flot
lille	
flot	
med	metun
tun	
på	
tredive	tredive
meter	meter
og	eget
eget	egetindmuret
indmuret	indmurede
genfærd	genfærdigt
i	i
kælderen	kælderen

den	det
blev	bliver
ved	vil
at	og
ringe	ringe
mens	medens
epstein	epstein
tøede	tøet
i	vildrede
vildrede	vildredet
med	men
hvad	hva
han	
skulle	sku
gøre	gør

der	det
var	bare
bare	nogen
nogen	nogenting
ting	
der	da
var	var
vigtigere	vigtigere
lige	ligenu
nu	

man	han
må	skulle
skulle	sgu
hente	hentes
dem	den
og	at
bruge	bruger
ordentlig	ordentligt
tid	tid
på	det
det	dét
for	får
det	de
kan	ka
ikke	være
være	så
så	såsvært
svært	
at	og
skrue	skruede
de	det
fleste	flest
af	er
os	
ind	inde
i	en
en	én
moderne	morende
bil	bil

han	hun
sender	sende
lærings	læringslysene
lysene	
på	
banen	bangen
punktum	punktum

heldigvis	heldigvist
var	varer
kira	keira
meget	megen
mere	marcol
cool	cool
under	
pres	press
end	
nogen	nogle
af	og
os	også

fra	for
guds	gudsbibel
bibel	
til	the
de	ti
ti	titusinde
tusind	tusinde
pixi	pixibøger
bøger	
de	
store	storefortællingers
fortællingers	fortællinger
de	d
ruth	
afsluttede	
en	end
epoke	epokemed
med	
tusind	tusinde
års	
mental	mentaltrældom
trældom	
men	man
efterlod	efterlode
også	osse
et	meningstomrum
menings	meningstomrum
tomrum	

halvtreds	halvtreds
tusind	tusinde
syv	syvhundrede
hundrede	
og	
fireogtyve	fireogfyrre

det	de
var	er
stik	stegt
med	
hvidløg	hvidløger
og	af
persille	persiller
og	
blev	bliver
anrettet	anrettede
på	på
provencalsk	provencalsmaner
maner	manager
med	men
en	et
velsmagende	velsmagen
krydret	krydrede
tomat	tomatcoulis
kulis	

hvis	vil
jeg	ikke
ikke	var
var	er
så	afhængig
afhængig	afhængigt
så	havde
havde	hadede
jeg	jer
for	forlængst
længst	
mest	med
studenten	studenten
op	oppe
mod	imod
